X,subject,LLM,tau,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_tau,ci_upper_tau,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
98,98,gemini2,1.096080093,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
99,99,gemini2,1.934849655,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
100,100,gemini2,1.429765751,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
1,1,chatgpto1,3.202856931,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
2,2,chatgpto1,3.011635024,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
3,3,chatgpto1,3.434444545,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
4,4,chatgpto1,2.349997567,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
5,5,chatgpto1,3.131112928,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
6,6,chatgpto1,2.565801271,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
7,7,chatgpto1,2.984590206,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
8,8,chatgpto1,4.280519416,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
9,9,chatgpto1,3.315995635,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
10,10,chatgpto1,4.094339234,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
11,11,chatgpto1,1.785156647,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
12,12,chatgpto1,2.568414831,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
13,13,chatgpto1,5.012122402,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
14,14,chatgpto1,1.843049393,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
15,15,chatgpto1,4.460213567,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
16,16,chatgpto1,2.773450603,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
17,17,chatgpto1,2.499280906,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
18,18,chatgpto1,1.994712474,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
19,19,chatgpto1,3.539684098,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
20,20,chatgpto1,2.637312706,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
21,21,chatgpto1,1.320404692,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
22,22,chatgpto1,2.568466194,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
23,23,chatgpto1,2.921569076,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
24,24,chatgpto1,2.707956699,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
25,25,chatgpto1,2.921568927,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
26,26,chatgpto1,2.133329374,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
27,27,chatgpto1,2.497078375,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
28,28,chatgpto1,3.355137556,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
29,29,chatgpto1,1.866116357,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
30,30,chatgpto1,1.933306162,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
31,31,chatgpto1,2.106167757,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
32,32,chatgpto1,3.587556913,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
33,33,chatgpto1,2.057438208,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
34,34,chatgpto1,2.921570044,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
35,35,chatgpto1,3.458758272,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
36,36,chatgpto1,2.909085627,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
37,37,chatgpto1,3.50796863,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
38,38,chatgpto1,2.13432762,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
39,39,chatgpto1,3.432027489,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
40,40,chatgpto1,2.709219181,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
41,41,chatgpto1,2.865592209,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
42,42,chatgpto1,2.033957216,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
43,43,chatgpto1,3.916822662,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
44,44,chatgpto1,3.910145952,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
45,45,chatgpto1,4.245878702,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
46,46,chatgpto1,2.134419904,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
47,47,chatgpto1,2.565313425,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
48,48,chatgpto1,3.067444069,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
49,49,chatgpto1,2.017561145,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
50,50,chatgpto1,2.695764099,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
51,51,chatgpto1,3.753335841,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
52,52,chatgpto1,3.561246827,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
53,53,chatgpto1,3.833778625,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
54,54,chatgpto1,3.129799018,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
55,55,chatgpto1,4.533476826,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
56,56,chatgpto1,2.921569503,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
57,57,chatgpto1,2.354632602,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
58,58,chatgpto1,3.310244438,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
59,59,chatgpto1,2.230769126,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
60,60,chatgpto1,1.703886999,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
61,61,chatgpto1,3.833748477,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
62,62,chatgpto1,2.879025916,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
63,63,chatgpto1,2.982553272,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
64,64,chatgpto1,2.310272349,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
65,65,chatgpto1,2.852698752,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
66,66,chatgpto1,2.176284927,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
67,67,chatgpto1,2.986257216,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
68,68,chatgpto1,2.421997234,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
69,69,chatgpto1,2.37620558,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
70,70,chatgpto1,2.715168467,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
71,71,chatgpto1,2.711025224,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
72,72,chatgpto1,1.720477465,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
73,73,chatgpto1,2.230768784,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
74,74,chatgpto1,4.381162667,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
75,75,chatgpto1,3.132583305,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
76,76,chatgpto1,3.434644949,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
77,77,chatgpto1,1.932148782,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
78,78,chatgpto1,4.277798796,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
79,79,chatgpto1,2.488305409,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
80,80,chatgpto1,2.582064358,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
81,81,chatgpto1,2.991033023,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
82,82,chatgpto1,1.225196651,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
83,83,chatgpto1,2.77034451,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
84,84,chatgpto1,2.15536678,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
85,85,chatgpto1,3.059808873,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
86,86,chatgpto1,2.771490962,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
87,87,chatgpto1,3.834147244,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
88,88,chatgpto1,2.998039131,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
89,89,chatgpto1,1.764027032,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
90,90,chatgpto1,2.636365167,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
91,91,chatgpto1,2.447313353,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
92,92,chatgpto1,3.835016095,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
93,93,chatgpto1,1.741257596,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
94,94,chatgpto1,2.909312362,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
95,95,chatgpto1,2.291535264,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
96,96,chatgpto1,2.269234721,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
97,97,chatgpto1,2.737391072,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
98,98,chatgpto1,1.997674174,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,1.795478828,4.084736648,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
